2026-07-08 13:40:30 | DEBUG    | crawler              |   PDF: https://facultad-artes-escenicas.pucp.edu.pe/wp-content/uploads/2026/04/MUSICA_MENCION-EN-EJECUCION-MUSICAL.pdf (found on: https://facultad-artes-escenicas.pucp.edu.pe/teatro/plan-de-estudio)
2026-07-08 13:40:30 | DEBUG    | extractor            | PDF extracted: 13 page fragment(s) via pymupdf: https://facultad-artes-escenicas.pucp.edu.pe/wp-content/uploads/2026/04/MUSICA_MENCION-EN-EJECUCION-MUSICAL.pdf
2026-07-08 13:40:31 | WARNING  | crawler              |   HTTP 404: https://facultad-artes-escenicas.pucp.edu.pe/musica/plan-de-estudio-musica
2026-07-08 13:40:33 | DEBUG    | crawler              |   HTML (318,669b) depth=1: https://facultad-artes-escenicas.pucp.edu.pe/creacion-y-produccion-escenica/plan-de-estudio
2026-07-08 13:40:33 | DEBUG    | extractor            | Block extraction: 22 from https://facultad-artes-escenicas.pucp.edu.pe/especialidades/musica/plan-de-estudio/plan-de-estudio-ejecucion-musical
2026-07-08 13:42:23 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/ciencias-contables/informacion-academica/plan-de-estudios
2026-07-08 13:42:25 | DEBUG    | crawler              |   HTML (70,108b) depth=1: http://facultad.pucp.edu.pe/ciencias-contables/informacion-academica/plan-de-estudios
2026-07-08 13:44:14 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/ingenieria/carreras/ciencias-estadisticas/plan-de-estudios
2026-07-08 13:44:16 | DEBUG    | crawler              |   HTML (87,481b) depth=1: http://facultad.pucp.edu.pe/ingenieria/carreras/ciencias-estadisticas/plan-de-estudios
2026-07-08 13:44:18 | DEBUG    | crawler              |   HTML (87,526b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/quimica/plan-de-estudios
2026-07-08 13:44:18 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_QUIMICA-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/quimica/plan-de-estudios)
2026-07-08 13:44:18 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_QUIMICA-2026-1.pdf
2026-07-08 13:44:18 | DEBUG    | crawler              | robots.txt unreadable for https://facultad-ciencias-sociales.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-08 13:44:21 | DEBUG    | crawler              |   HTML (75,107b) depth=1: https://facultad-ciencias-sociales.pucp.edu.pe/carreras/antropologia/planes-de-estudio
2026-07-08 13:44:21 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-sociales.pucp.edu.pe/wp-content/uploads/2024/08/Plan-de-Estudios-de-Antropologia-PUCP-310724.pdf (found on: https://facultad-ciencias-sociales.pucp.edu.pe/carreras/antropologia/planes-de-estudio)
2026-07-08 13:44:22 | DEBUG    | extractor            | PDF extracted: 30 page fragment(s) via pymupdf: https://facultad-ciencias-sociales.pucp.edu.pe/wp-content/uploads/2024/08/Plan-de-Estudios-de-Antropologia-PUCP-310724.pdf
2026-07-08 13:44:22 | INFO     | pipeline             |   200 fragments | 14 candidate rows
2026-07-08 13:44:25 | DEBUG    | crawler              |   HTML (77,768b) depth=1: https://facultad-ciencias-sociales.pucp.edu.pe/carreras/ciencia-politica-y-gobierno/planes-de-estudio
2026-07-08 13:44:25 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-sociales.pucp.edu.pe/wp-content/uploads/2024/10/Plan-de-Estudios-CPG-301024.pdf (found on: https://facultad-ciencias-sociales.pucp.edu.pe/carreras/ciencia-politica-y-gobierno/planes-de-estudio)
2026-07-08 13:44:26 | DEBUG    | extractor            | PDF extracted: 34 page fragment(s) via pymupdf: https://facultad-ciencias-sociales.pucp.edu.pe/wp-content/uploads/2024/10/Plan-de-Estudios-CPG-301024.pdf
2026-07-08 13:44:26 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-sociales.pucp.edu.pe/wp-content/uploads/2025/11/Plan-de-estudios-22-CPG-092025.pdf (found on: https://facultad-ciencias-sociales.pucp.edu.pe/carreras/ciencia-politica-y-gobierno/planes-de-estudio)
2026-07-08 13:44:27 | DEBUG    | extractor            | PDF extracted: 36 page fragment(s) via pymupdf: https://facultad-ciencias-sociales.pucp.edu.pe/wp-content/uploads/2025/11/Plan-de-estudios-22-CPG-092025.pdf
